
=== 10.1 Non-CR Elect. ===
  Floors                 | Floor | Generic 200 × 2
  Floors                 | Floor | Generic 300mm 2 × 1
  Floors                 | Floor | RCC road × 1
  Floors                 | Floor | mh_@S_FLST_MSM_Thk200mm × 1
  Floors                 | Floor | mh_@S_FLST_PCC_Thk100mm × 1
  Floors                 | Floor | mh_@S_FLST_Thk100mm × 3
  Floors                 | Floor | mh_@S_FLST_Thk100mmPCC × 3
  Floors                 | Floor | mh_@S_FLST_Thk150mm × 1
  Floors                 | Floor | mh_@S_FLST_Thk200mm × 2
  Floors                 | Floor | mh_@S_FLST_Thk250mm × 1
  Floors                 | Floor | mh_@S_FLST_Thk300mm × 2
  Floors                 | Floor | mh_@S_FLST_Thk30mm × 3
  Floors                 | Floor | mh_@S_FLST_Thk350mm × 1
  Floors                 | Floor | mh_@S_FLST_Thk75mm × 1
  Stairs                 | Assembled Stair | 190mm max riser 250mm going × 4
  Stairs                 | Assembled Stair | mh_@STAIR PROFILE × 1
  Stairs                 | Cast-In-Place Stair | Monolithic Stair 2 × 1
  Structural Foundations | Foundation Slab | 300mm Foundation Slab 2 × 1
  Structural Foundations | Foundation Slab | 400mm Foundation Slab × 2
  Structural Foundations | Foundation Slab | mh_@S_FLST_Thk100mm PCC × 5
  Structural Foundations | Foundation Slab | mh_@S_FLST_Thk300mm × 1
  Structural Foundations | Foundation Slab | mh_@S_FLST_Thk450MM × 5
  Structural Foundations | Foundation Slab | mh_@S_FLST_Thk500mm MSM × 6

=== 4.1 Non-CR Architecture ===
  Doors                  | mh_DOOR_Double Door Vision Panel | @A_DOOR_FD2B_2400X2500mm × 9
  Doors                  | mh_DOOR_Double Door Vision Panel | @A_DOOR_FD4D_2400X2500mm × 3
  Doors                  | mh_DOOR_Rolling Shutter | @A_DOOR_4200X4000 2 × 1
  Doors                  | mh_DOOR_Rolling Shutter | @A_DOOR_6000X6500 × 1
  Doors                  | mh_DOOR_Single Door  Vision Panel_Metal | @_DOOR_FD1B_1200X2500mm × 10
  Floors                 | Floor | Generic 250mm × 3
  Floors                 | Floor | Generic 50mm × 1
  Floors                 | Floor | LOADING PLATFORM CHEQUIRED PLATE × 8
  Roofs                  | Basic Roof | ROOF SHEATING × 1
  Stairs                 | Cast-In-Place Stair | Monolithic Stair × 1

=== 4.2 CR Architecture ===
  Doors                  | mh_DOOR-Overhead-Rolling | @A_DOOR_RS2A_4000X4200MM × 1
  Doors                  | mh_DOOR_Double Door Vision Panel | @A_DOOR_CD2C_2400X3200 × 4
  Doors                  | mh_DOOR_Double Door Vision Panel | @A_DOOR_FD2E_2400X3000 × 1
  Doors                  | mh_DOOR_Double Door Vision Panel | @A_DOOR_FD2M_2000X2500 × 2
  Doors                  | mh_DOOR_Double Door Vision Panel | @A_DOOR_FD4E_2400X2100 × 1
  Doors                  | mh_DOOR_Double Door Vision Panel | @A_DOOR_FD4N_2000X2500 × 1
  Doors                  | mh_DOOR_Double Door Vision Panel | @A_DOOR_PD2AN_2400X3000 × 1
  Doors                  | mh_DOOR_Double Door Vision Panel | @A_DOOR_PD2A_2400X3200 × 2
  Doors                  | mh_DOOR_Double sliding | @A_DOOR_CSD2A_1500x2500mm × 2
  Doors                  | mh_DOOR_Single Door  Vision Panel | @_DOOR_CD1 1200X2200 × 7
  Doors                  | mh_DOOR_Single Door  Vision Panel | @_DOOR_CD5 900X2200 × 10
  Doors                  | mh_DOOR_Single Door  Vision Panel | @_DOOR_FD1B_1200X2500mm × 2
  Doors                  | mh_DOOR_Single Door  Vision Panel | @_DOOR_FD4C_1200X2500 × 1
  Doors                  | mh_DOOR_Single Door  Vision Panel | @_DOOR_PD1A_1000X2500mm × 10
  Doors                  | mh_DOOR_Single Door_metal | @A_DOOR_750X2200mm × 1
  Doors                  | mh_DOOR_Single Door_metal | @A_DOOR_PD1A_1000X2500mm × 2
  Floors                 | Floor | FLOOR FOR TRENCH × 1
  Floors                 | Floor | GENERIC FLOOR × 2
  Floors                 | Floor | Generic 200mm × 1
  Floors                 | Floor | HORIZONTAL GI SHEET × 5
  Floors                 | Floor | PERFORATED TILES × 3
  Floors                 | Floor | SOLID TILES × 224
  Windows                | Parametric_Louver_Window_15219 | 1200x5000mm × 2
  Windows                | Parametric_Louver_Window_15219 | 1500x5000mm × 5
  Windows                | Parametric_Louver_Window_15219 | 1650X950 × 1
  Windows                | Parametric_Louver_Window_15219 | 1985 x 1000 × 1
  Windows                | Parametric_Louver_Window_15219 | 2100 x 2000 × 1
  Windows                | Parametric_Louver_Window_15219 | 4140 x 2100 × 1
  Windows                | Parametric_Louver_Window_15219 | 4800 x 2000 × 4
  Windows                | Parametric_Louver_Window_15219 | 700x700 × 2
  Stairs                 | Assembled Stair | Industrial and Assembly × 1

=== 5.1 Non-CR HVAC ===
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [EA 10] {1050 mmx550 mm-1050 mmx550 mm} × 1
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [EA 10] {550 mmx1050 mm-550 mmx1050 mm} × 2
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [EA 1] {1600 mmx700 mm-1600 mmx700 mm} × 1
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [EA 1] {2100 mmx700 mm-2100 mmx700 mm} × 2
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [EA 1] {800 mmx1400 mm-800 mmx1400 mm} × 4
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [EA 3] {600 mmx700 mm-600 mmx700 mm} × 2
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [EA 3] {700 mmx600 mm-700 mmx600 mm} × 1
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [EA 5] {1000 mmx3450 mm-1000 mmx3450 mm} × 2
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [EA 5] {2150 mmx900 mm-2150 mmx900 mm} × 1
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [EA 5] {3450 mmx1000 mm-3450 mmx1000 mm} × 2
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [EA 6] {600 mmx700 mm-600 mmx700 mm} × 1
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [EA 6] {700 mmx600 mm-700 mmx600 mm} × 3
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [MA 11] {300 mmx800 mm-300 mmx800 mm} × 3
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [MA 11] {800 mmx300 mm-800 mmx300 mm} × 3
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [MA 14] {500 mmx900 mm-500 mmx900 mm} × 4
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [MA 14] {700 mmx1200 mm-700 mmx1200 mm} × 2
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [MA 14] {900 mmx500 mm-900 mmx500 mm} × 2
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [MA 6] {200 mmx300 mm-200 mmx300 mm} × 1
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [MA 6] {200 mmx600 mm-200 mmx600 mm} × 12
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [RA 2] {1100 mmx2500 mm-1100 mmx2500 mm} × 1
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [RA 2] {2500 mmx1100 mm-2500 mmx1100 mm} × 1
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [RA 5] {350 mmx800 mm-350 mmx800 mm} × 1
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [RA 5] {800 mmx350 mm-800 mmx350 mm} × 1
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [RA 8] {800 mmx350 mm-800 mmx350 mm} × 1
